requirement_id,requirement_type,requirement_summary,source_stakeholder,related_business_rule,related_user_story,related_uat_test,reporting_metric,status
BR-001,Business,Standardize procurement request intake for Maintenance pilot users,Executive sponsor; Operations requester,BRULE-004,US-001,UAT-001,Complete required fields rate,Mapped to backlog and UAT
BR-002,Business,Reduce avoidable procurement and finance rework from missing details and coding issues,Procurement coordinator; Finance / budget reviewer,BRULE-009; BRULE-010; BRULE-017,US-002; US-003; US-008,UAT-004; UAT-013; UAT-016,Finance hold count; Procurement hold count,Mapped to backlog and UAT
BR-003,Business,Improve approval and workflow status visibility for requesters and business stakeholders,Operations requester; Department manager; Executive sponsor,BRULE-016,US-007; US-012; US-014,UAT-007; UAT-010; UAT-012; UAT-017; UAT-019; UAT-020,Request status distribution; Approval aging,Mapped to backlog and UAT
BR-004,Business,Apply consistent approval controls by amount department finance executive and exception needs,Department manager; Finance / budget reviewer; Executive sponsor,BRULE-001; BRULE-002; BRULE-003; BRULE-004,US-004; US-005; US-006,UAT-001; UAT-002; UAT-003; UAT-013,Approval path compliance,Mapped to backlog and UAT
BR-005,Business,Improve budget-code quality and earlier finance issue visibility,Finance / budget reviewer,BRULE-005; BRULE-009; BRULE-010,US-005; US-008,UAT-002; UAT-004; UAT-013,Budget code exception rate,Mapped to backlog and UAT
BR-006,Business,Support auditability of decisions holds emergency handling PO events receiving and closure,Finance / budget reviewer; Project manager,BRULE-008; BRULE-012; BRULE-013; BRULE-014,US-006; US-007; US-015; US-016,UAT-003; UAT-006; UAT-007; UAT-014; UAT-015,Audit note completeness,Mapped to backlog and UAT
BR-007,Business,Give procurement complete and approved information for cleaner PO handoffs,Procurement coordinator,BRULE-017,US-003; US-009; US-010,UAT-005; UAT-008; UAT-016; UAT-019,Approval to PO cycle time,Mapped to backlog and UAT
BR-008,Business,Separate request workflow status from delivery or receiving status,Receiving / operations staff; Procurement coordinator,BRULE-013; BRULE-016,US-011; US-012,UAT-009; UAT-019; UAT-020,Delivery status distribution,Mapped to backlog and UAT
BR-009,Business,Support controlled exceptions for emergency duplicate vendor budget quote and capital review scenarios,Department manager; Finance / budget reviewer; Procurement coordinator,BRULE-006; BRULE-007; BRULE-008; BRULE-011,US-009; US-016,UAT-005; UAT-006; UAT-011; UAT-016; UAT-019,Exception reason count,Mapped to backlog and UAT
BR-010,Business,Provide leadership and manager reporting inputs for backlog aging cycle time exceptions spend and receiving,Executive sponsor; Report viewer,BRULE-016; BRULE-018,US-013; US-014,UAT-010; UAT-017; UAT-018; UAT-020,Backlog; Cycle time; Exception rate,Mapped to backlog and UAT
BR-011,Business,Support a controlled Maintenance pilot before expansion to other departments,Project manager; Executive sponsor,BRULE-004,US-013,UAT-018,Pilot adoption count,Mapped to backlog and UAT
BR-012,Business,Preserve platform-neutral implementation documentation without named ERP configuration claims,ERP implementation consultant; IT systems analyst,None,Portfolio honesty constraint; no direct story ID,Final QA review; no direct UAT ID,Artifact consistency review,Mapped where clear; documented gap/constraint
FR-001,Functional,Allow Maintenance pilot requesters to create purchase requests for pilot categories,Operations requester,BRULE-004,US-001,UAT-001,Purchase request volume,Mapped to backlog and UAT
FR-002,Functional,Capture requester department category description reason amount priority needed-by budget vendor and delivery fields,Operations requester; Procurement coordinator,BRULE-009; BRULE-017,US-001,UAT-001,Complete required fields rate,Mapped to backlog and UAT
FR-003,Functional,Prevent normal submission when required fields are missing except emergency safety fast-track handling,Operations requester; Finance / budget reviewer,BRULE-008; BRULE-009,US-002; US-016,UAT-004; UAT-006,Missing field exception count,Mapped to backlog and UAT
FR-004,Functional,Support supporting attachments for quotes photos specifications and vendor documents,Operations requester; Procurement coordinator,BRULE-017,US-003,UAT-016,Attachment presence rate,Mapped to backlog and UAT
FR-007,Functional,Route submitted requests to the correct department manager,Department manager,BRULE-004,US-004,UAT-001,Approval routing accuracy,Mapped to backlog and UAT
FR-008,Functional,Apply amount-based approval routing for the three standard CAD thresholds,Department manager; Executive sponsor,BRULE-001; BRULE-002; BRULE-003,US-004; US-005; US-006,UAT-001; UAT-002; UAT-003,Approval path compliance,Mapped to backlog and UAT
FR-011,Functional,Allow approvers to approve reject or return a request with mandatory decision comments,Department manager,BRULE-012; BRULE-015,US-007,UAT-007,Decision comment completeness,Mapped to backlog and UAT
FR-012,Functional,Notify requesters and stakeholders at key workflow and exception events,Operations requester; Project manager,BRULE-016; BRULE-018,US-007; US-012,UAT-007; UAT-012; UAT-017; UAT-020,Notification event coverage,Mapped to backlog and UAT
FR-013,Functional,Validate whether budget code is present and recognized before normal routing continues,Finance / budget reviewer,BRULE-009; BRULE-010,US-002; US-008,UAT-004; UAT-013,Budget validation exception count,Mapped to backlog and UAT
FR-015,Functional,Allow finance reviewers to record review decisions hold reasons correction notes and completion,Finance / budget reviewer,BRULE-005; BRULE-010; BRULE-018,US-005; US-008,UAT-002; UAT-013,Finance hold resolution time,Mapped to backlog and UAT
FR-016,Functional,Flag potential duplicate requests without automatically blocking legitimate requests,Department manager; Procurement coordinator,BRULE-011,US-009,UAT-011,Duplicate warning count,Mapped to backlog and UAT
FR-017,Functional,Allow emergency safety requests to use faster routing with justification audit notes and post-review information,Operations requester; Department manager; Finance / budget reviewer,BRULE-008,US-016,UAT-006,Emergency audit note completeness,Mapped to backlog and UAT
FR-018,Functional,Identify vendor status as preferred new one-time or unknown,Procurement coordinator,BRULE-007,US-009,UAT-005,Vendor exception count,Mapped to backlog and UAT
FR-020,Functional,Provide procurement coordinators with a review queue for approved requests needing PO readiness review,Procurement coordinator,BRULE-017,US-003; US-009,UAT-005; UAT-011; UAT-016; UAT-019,Approved to PO cycle time,Mapped to backlog and UAT
FR-021,Functional,Allow procurement holds with standardized reason and comment,Procurement coordinator,BRULE-017; BRULE-018,US-009,UAT-005; UAT-016; UAT-019,Procurement hold count,Mapped to backlog and UAT
FR-022,Functional,Allow PO status or handoff when approvals finance vendor and request details are complete,Procurement coordinator,BRULE-014; BRULE-017,US-010,UAT-008,PO creation count,Mapped to backlog and UAT
FR-024,Functional,Support receiving updates with delivery status values,Receiving / operations staff,BRULE-013; BRULE-016,US-011,UAT-009; UAT-019,Delivery status distribution,Mapped to backlog and UAT
FR-025,Functional,Keep request status separate from delivery status in views and extracts,Receiving / operations staff; Report viewer,BRULE-016,US-011; US-012,UAT-009; UAT-019; UAT-020,Status mismatch exception count,Mapped to backlog and UAT
FR-027,Functional,Allow authorized users to search and filter purchase requests across workflow and reporting fields,Report viewer; Procurement coordinator,BRULE-016; BRULE-018,US-013,UAT-018,Filtered backlog review,Mapped to backlog and UAT
FR-028,Functional,Support reporting extracts for backlog approval finance procurement cycle spend emergency and receiving metrics,Executive sponsor; Report viewer,BRULE-016; BRULE-018,US-014,UAT-010; UAT-017; UAT-020,Backlog; Cycle time; Exception rate,Mapped to backlog and UAT
FR-029,Functional,Maintain audit trail for key request workflow actions and comments,Finance / budget reviewer; IT systems analyst,BRULE-012; BRULE-013; BRULE-014,US-015,UAT-015,Audit history completeness,Mapped to backlog and UAT
FR-030,Functional,Enforce role-based permissions for workflow and reporting roles,IT systems analyst; Project manager,BRULE-004,US-015,UAT-014; UAT-015,Role access exception count,Mapped to backlog and UAT
NFR-001,Non-functional,Restrict access by role and business responsibility,IT systems analyst; Project manager,BRULE-004,US-013; US-015,UAT-014; UAT-018,Role access exception count,Mapped to backlog and UAT
NFR-002,Non-functional,Maintain audit history for workflow decisions changes holds PO updates receiving comments and closure,Finance / budget reviewer; IT systems analyst,BRULE-012; BRULE-013; BRULE-014,US-015; US-016,UAT-006; UAT-015,Audit history completeness,Mapped to backlog and UAT
NFR-003,Non-functional,Use validation and controlled-list values for key workflow and reporting fields,Finance / budget reviewer; IT systems analyst,BRULE-009; BRULE-010; BRULE-016; BRULE-018,US-002; US-008,UAT-004; UAT-013,Validation exception count,Mapped to backlog and UAT
NFR-005,Non-functional,Support responsive common user actions for daily Maintenance pilot use,Operations requester; Department manager,None,US-013,UAT-018,User action response expectation,Mapped to backlog and UAT
NFR-006,Non-functional,Retain procurement request records approval history PO receiving and audit history for agreed retention period,Finance / budget reviewer; Executive sponsor,BRULE-014,No direct story ID; retention remains an implementation/open policy assumption,No direct UAT ID; verify during implementation readiness review,Record retention confirmation,Mapped where clear; documented gap/constraint
NFR-007,Non-functional,Protect confidential budget spend vendor approval and audit information based on role need,Finance / budget reviewer; IT systems analyst,BRULE-004,US-012; US-015,UAT-014; UAT-015,Confidential access exception count,Mapped to backlog and UAT
NFR-008,Non-functional,Follow reasonable accessibility expectations for workflow screens forms queues and reports,Operations requester; UAT tester,None,No direct story ID; accessibility remains a review expectation,No direct UAT ID; accessibility checklist not separately created,Accessibility review checklist,Mapped where clear; documented gap/constraint
NFR-009,Non-functional,Refresh reporting extracts on a clearly agreed pilot cadence,Executive sponsor; Report viewer,BRULE-018,US-014,UAT-010; UAT-017; UAT-020,Reporting refresh cadence,Mapped to backlog and UAT
NFR-010,Non-functional,Assume lightweight reference dependencies for vendor budget role and reporting data without expanding into payment accounting or inventory integration,IT systems analyst; Project manager,BRULE-007; BRULE-010,No direct story ID; integration boundary documented as scope constraint,No direct UAT ID; scope boundary verified in final QA,Integration assumption confirmation,Mapped where clear; documented gap/constraint
NFR-012,Non-functional,Support UAT and training with realistic synthetic records and role-based access examples,UAT tester; Project manager,None,US-015,UAT-014; UAT-015,Synthetic test data readiness,Mapped to backlog and UAT
